Test date	Product name	Brand	Testing for	Result (ppb)
10/25/2016	turmeric powder	peck's market	cadmium	none found
10/25/2016	spanish paprika	peck's market	cadmium	39.8
10/26/2016	star anise (whole)	szechuans	cadmium	none
10/26/2016	sophora japonica l	green day	cadmium	25.3
11/2/2016	chili powder (spice mix)	market pantry	cadmium	109
11/1/2016	ground red pepper	k. sabor	cadmium	95.3
11/1/2016	ground cumin	k. sabor	cadmium	64.4
11/8/2016	pashupati lapsi powder		cadmium	none
11/8/2016	prabhu timur sichuan		cadmium	82.8
11/14/2016	soul seasoning	mimi's products	cadmium	22.0
11/14/2016	turmeric	spice islands	cadmium	22.7
11/14/2016	turmeric	simply organic	cadmium	85.5
11/15/2016	bot nghe turmeric powder	lucky eight	cadmium	624
11/22/2016	curry powder	breen's market	cadmium	71.7
11/21/2016	paprika powder	key food	cadmium	61.8
11/28/2016	extra hot chilli powder	maya	cadmium	49.4
11/30/2016	curry powder	spice supreme	cadmium	67.1
12/5/2016	hot curry powder	bolst's	cadmium	50.0
12/5/2016	tumeric powder	deer	cadmium	38.5
12/5/2016	tumeric root	america's best	cadmium	none
12/5/2016	red chilli ground (special)	three rivers	cadmium	65.6
12/6/2016	paprika	price chopper	cadmium	179
12/19/2016	dry garlic chutney	swad	cadmium	33.9
12/29/2016	curry powder	chief	cadmium	179
1/3/2017	mexican spices	cal mexicana	cadmium	19.2
1/3/2017	turmeric powder	keshav	cadmium	65.8
1/3/2017	chili powder	keshav	cadmium	48.1
1/3/2017	chicken masala	century	cadmium	115
1/4/2017	paprika	rehmat	cadmium	1420
12/23/2016	javantri whole (mace	paras	cadmium	39.1
1/5/2017	jamaican curry powder	goya	cadmium	63.1
1/5/2017	cumin seed powder	khaas	cadmium	83.4
1/17/2017	cumin powder	radhuni	cadmium	57.7
1/17/2017	turmeric powder	deer	cadmium	21.3
1/25/2017	curry powder	vianco indian	cadmium	164
1/27/2017	hard shrimp paste	belacan	cadmium	85.4
1/27/2017	yellow hot pepper paste	dona sabal	cadmium	96.4
1/26/2017	chilli powder ex-hot	maya	cadmium	97.4
1/31/2017	extra fancy paprika	prima	cadmium	131
1/30/2017	jamaican curry powder	blue mountain	cadmium	25.7
2/6/2017	shrimp powder-maesri		cadmium	519
2/6/2017	african red hot pepper	adom	cadmium	43.2
2/6/2017	paprika	ziyad	cadmium	424
2/7/2017	paprika	mimi's products	cadmium	21.3
2/8/2017	turmeric powder	swad	cadmium	none
2/8/2017	turmeric powder	maya overseas	cadmium	45.4
2/13/2017	turmeric powder	three rivers	cadmium	37.1
2/13/2017	turmeric powder	america's best	cadmium	none
2/13/2017	ground turmeric	western beef	cadmium	none
2/14/2017	curry powder	jarin	cadmium	113
2/14/2017	organic tumeric	simply organic	cadmium	60.2
2/15/2017	turmeric powder	maya	cadmium	36.4
2/15/2017	turmeric powder	laxmi	cadmium	none
2/16/2017	madras curry powder	kim tu thap	cadmium	78.3
2/16/2017	khebab powder		cadmium	none
2/16/2017	curry powder	lion	cadmium	58.3
2/16/2017	khebab spices	suya	cadmium	none
2/17/2017	ground cumin	badia	cadmium	53.9
2/21/2017	paprika	my town	cadmium	171
2/15/2017	tumeric powder	casablanca	cadmium	none
2/21/2017	ground tumeric	eagle spice &	cadmium	none
2/22/2017	paprika	market pantry	cadmium	34.9
2/15/2017	organic turmeric powder	dual specialty	cadmium	73.1
2/22/2017	ground turmeric	pereg	cadmium	none
2/23/2017	cumin powder	key food	cadmium	70.5
2/23/2017	ground cumin	spice n more	cadmium	45.9
2/23/2017	ground cumin	spice n more	cadmium	63.2
2/28/2017	five spice powder	oriental mascot	cadmium	154
3/8/2017	paprika	market pantry	cadmium	39.6
3/13/2017	cumin powder	noor's	cadmium	75.3
3/13/2017	ground turmeric	eagle spice	cadmium	none
3/20/2017	red pepper powder	sunrise victory	cadmium	92.5
3/20/2017	comino molido (ground	piaxtla	cadmium	67.0
3/27/2017	turmeric	simply organic	cadmium	53.7
3/31/2017	jamaican curry	caribbean	cadmium	28.2
4/3/2017	parsley flakes	castella	cadmium	91.3
4/4/2017	red chili powder	three rivers	cadmium	96.3
4/4/2017	tumeric powder	three rivers	cadmium	none
4/5/2017	javentri whole (mace)	shad	cadmium	60.5
4/12/2017	jamaican curry	mimi's products	cadmium	63.5
4/12/2017	ginger paste	mehran	cadmium	none
4/13/2017	ground turmeric	peru food	cadmium	69.8
4/13/2017	turmeric powder	swad	cadmium	none
4/12/2017	green za'atar (spice mix)	ziyad	cadmium	55.6
4/17/2017	turmeric powder	national	cadmium	46.1
4/17/2017	chicken tikka spice mix	national	cadmium	36.4
4/17/2017	chana spice mix	laziza	cadmium	57.7
4/18/2017	sumac	casablanca	cadmium	none
4/18/2017	sumac	casablanca	cadmium	none
4/24/2017	turmeric powder	charminar	cadmium	33.3
4/24/2017	soul seasoning	finest	cadmium	none
4/25/2017	ground cumin	la flor	cadmium	71.4
4/25/2017	jamaican curry powder	blue mountain	cadmium	none
4/25/2017	jamaican curry powder	jamaican choice	cadmium	none
5/1/2017	chili powder	national	cadmium	97.7
5/2/2017	dried aniseed	(pictures of bird	cadmium	189
5/8/2017	gb salt with spices and	costa del	cadmium	none found
5/8/2017	chile piquin molido	mexican flavors	cadmium	56.6
5/22/2017	curry powder	rico	cadmium	39.9
5/23/2017	turmeric powder	bot ng he	cadmium	113
5/23/2017	smoked paprika	milleiton fresh	cadmium	48.4
5/26/2017	jamaica curry powder	blue mountain	cadmium	none
5/26/2017	old harbour fish seasoning	blue mountain	cadmium	none
5/26/2017	jamaica style mild curry	grace	cadmium	32.7
5/30/2017	ground clove	nicomex	cadmium	none
6/5/2017	paprika	marcum	cadmium	114
6/12/2017	mild curry powder	bedessee	cadmium	none
6/21/2017	cumin	chef's select	cadmium	64.3
6/23/2017	ground tumeric	keuka trail farm	cadmium	129
6/28/2017	curry powder	toros	cadmium	54.4
6/29/2017	garam masala	spice rite	cadmium	95.5
6/29/2017	garam masala	indo-west indian	cadmium	101
6/29/2017	roasted geera (cumin)	maywah	cadmium	71.3
6/29/2017	turmeric powder	keshav	cadmium	none
6/29/2017	geera cumin roasted	indo-west indian	cadmium	60.7
6/30/2017	mild curry powder	grace	cadmium	19.8
6/30/2017	hot curry powder	grace	cadmium	25.9
7/3/2017	turmeric powder	shwekein-na-yi	cadmium	44.8
7/11/2017	grey salt with black	tartufi di fassia	cadmium	26.1
7/7/2017	cumin powder	laxmi brand	cadmium	71.3
7/7/2017	cumin powder	laxmi brand	cadmium	68.4
7/7/2017	cumin powder	laxmi brand	cadmium	67.8
7/12/2017	cayenne pepper	finest choice	cadmium	58.6
7/19/2017	saffron powder (tumeric)	chief	cadmium	54.1
7/18/2017	mecit alpdogan sumak	oz alpdogan	cadmium	none
7/18/2017	sumac ground	casa blanca	cadmium	none found
7/18/2017	sumac ground	casa blanca	cadmium	none found
7/19/2017	barbeque spice	eagle spice	cadmium	85.3
7/19/2017	extra ground cumin	eagle spice	cadmium	80.2
7/24/2017	ground cinnamon	niskayuna	cadmium	199
7/24/2017	curry powder	niskayuna	cadmium	58.0
7/24/2017	ground nutmeg	niskayuna	cadmium	64.0
7/24/2017	turmeric	niskayuna	cadmium	none
7/24/2017	paprika	kamis	cadmium	51.0
7/26/2017	curry powder	guercio & sons	cadmium	87.9
7/26/2017	ground cumin	gro mex	cadmium	221
7/27/2017	yellow coloring	lisy bija	cadmium	none
7/27/2017	lemon pepper	salma	cadmium	none
7/27/2017	cumin seeds	salma	cadmium	66.8
8/2/2017	bajan curry powder	exotica	cadmium	38.0
8/8/2017	turmeric powder	caribbean	cadmium	none
8/14/2017	turmeric powder	magadoo	cadmium	none
8/21/2017	sumac	baraka	cadmium	none
8/22/2017	paprika	marcum	cadmium	84.6
8/22/2017	cinnamon	marcum	cadmium	205
8/22/2017	ground cumin	marcum	cadmium	66.5
8/21/2017	lisa paprika	lisy	cadmium	36.5
8/21/2017	grand cumin	lisy	cadmium	79.7
8/22/2017	chilli powder extra hot	keshav	cadmium	50.9
8/22/2017	mustard seed	keshav	cadmium	81.5
8/22/2017	turmeric powder	keshav	cadmium	40.5
8/28/2017	taco seasoning	mimi's products	cadmium	39.7
9/5/2017	sweet paprika	freshly	cadmium	421
8/31/2017	sumac ground	casa blanca	cadmium	none
9/6/2017	tumeric powder	peacock brand	cadmium	none
9/11/2017	cayenne paper	brooklyn spice	cadmium	158
9/11/2017	palenque spanish chorizo	brooklyn spice	cadmium	none
9/12/2017	menudo mix chile	el chilar	cadmium	188
9/12/2017	clavo molido		cadmium	none
9/19/2017	chicken seasoning	clover valley	cadmium	none
9/26/2017	sumac (turkey)	sumac	cadmium	none
9/26/2017	sumac turkey (california)	sumac turkey	cadmium	none
10/3/2017	ground cinnamon	price chopper	cadmium	164
10/3/2017	paprika	price chopper	cadmium	38.2
10/3/2017	chili powder	morton & bassett	cadmium	82.5
10/3/2017	ground cumin	morton & bassett	cadmium	77.1
10/3/2017	hot smoked paprika	jansal valley	cadmium	48.5
10/10/2017	tumeric powder		cadmium	none
10/17/2017	georgian dry spices	lucky ltd.	cadmium	51.0
10/24/2017	tumeric powder	cock brand	cadmium	52.7
11/1/2017	curry en polvo/curry	pepito	cadmium	47.9
11/3/2017	ground massala	chandradat	cadmium	83.4
11/3/2017	tumeric	indo west indian	cadmium	none
11/6/2017	cayenne pepper	finest choice	cadmium	49.7
11/6/2017	cayenne pepper	finest choice	cadmium	46.3
11/6/2017	ground tumeric	finest choice	cadmium	none
11/6/2017	ground tumeric	finest choice	cadmium	712
11/7/2017	red hot pepper	arifoglu	cadmium	103
11/14/2017	curry powder	chief	cadmium	228
11/15/2017	hot & spicy duck / goat curry	chief	cadmium	58.0
11/27/2017	pickle masala	swan	cadmium	36.1
11/30/2017	sesame seeds	la flor	cadmium	334
12/11/2017	smoked paprika	chef's select	cadmium	36.7
12/13/2017	ground turmeric	finest choice	cadmium	1140
12/13/2017	paprika	mimi's products	cadmium	120
12/18/2017	red hot pepper flakes	arifoglu	cadmium	114
12/21/2017	ground paprika	supreme tradition	cadmium	52.2
1/3/2018	ground tumeric	therbal	cadmium	none
1/8/2018	chilly powder extra hot	deer	cadmium	58.1
1/8/2018	chilli powder red	deer	cadmium	69.4
1/10/2018	white pepper powder	peacock brand	cadmium	12.7
1/10/2018	five spices powder	peacock brand	cadmium	371
1/16/2018	fennel seed	deer	cadmium	none
1/25/2018	ground nutmeg	supreme tradition	cadmium	43.5
1/25/2018	ground cinnamon	supreme tradition	cadmium	369
1/23/2018	curry powder	betapac	cadmium	54.9
1/29/2018	turmeric	double golden fish	cadmium	54.4
1/30/2018	turmeric powder	moho	cadmium	14.3
2/13/2018	annatto	double golden fish	cadmium	23.2
