Test date	Product name	Brand	Testing for	Result (ppb)
12/5/2016	red chilli ground (special)	three rivers	arsenic	142
12/6/2016	paprika	price chopper	arsenic	166
12/19/2016	dry garlic chutney	swad	arsenic	74.7
12/29/2016	curry powder	chief	arsenic	53.7
1/3/2017	mexican spices	cal mexicana	arsenic	702
1/3/2017	turmeric powder	keshav	arsenic	none
1/3/2017	chili powder	keshav	arsenic	46.3
1/3/2017	chicken masala	century	arsenic	134
1/4/2017	paprika	rehmat	arsenic	438
12/23/2016	javantri whole (mace	paras	arsenic	none
1/5/2017	jamaican curry powder	goya	arsenic	32.3
1/5/2017	cumin seed powder	khaas	arsenic	78.2
1/17/2017	cumin powder	radhuni	arsenic	28.7
1/17/2017	turmeric powder	deer	arsenic	52.6
1/25/2017	curry powder	vianco indian	arsenic	254
1/27/2017	hard shrimp paste	belacan	arsenic	2510
1/27/2017	yellow hot pepper paste	dona sabal	arsenic	none
1/26/2017	chilli powder ex-hot	maya	arsenic	39.8
1/31/2017	extra fancy paprika	prima	arsenic	37.0
1/30/2017	jamaican curry powder	blue mountain	arsenic	none
2/6/2017	shrimp powder-maesri		arsenic	6990
2/6/2017	african red hot pepper	adom	arsenic	none
2/6/2017	paprika	ziyad	arsenic	297
2/7/2017	paprika	mimi's products	arsenic	56.3
2/8/2017	turmeric powder	swad	arsenic	22.6
2/8/2017	turmeric powder	maya overseas	arsenic	none
2/13/2017	turmeric powder	three rivers	arsenic	none
2/13/2017	turmeric powder	america's best	arsenic	none
2/13/2017	ground turmeric	western beef	arsenic	none
2/14/2017	curry powder	jarin	arsenic	22.6
2/14/2017	organic tumeric	simply organic	arsenic	74.3
2/15/2017	turmeric powder	maya	arsenic	none
2/15/2017	turmeric powder	laxmi	arsenic	22.3
2/16/2017	madras curry powder	kim tu thap	arsenic	84.3
2/16/2017	khebab powder		arsenic	249
2/16/2017	curry powder	lion	arsenic	108
2/16/2017	khebab spices	suya	arsenic	161
2/17/2017	ground cumin	badia	arsenic	45.8
2/21/2017	paprika	my town	arsenic	44.4
2/15/2017	tumeric powder	casablanca	arsenic	none
2/21/2017	ground tumeric	eagle spice &	arsenic	none
2/22/2017	paprika	market pantry	arsenic	106
2/15/2017	organic turmeric powder	dual specialty	arsenic	73.6
2/22/2017	ground turmeric	pereg	arsenic	none
2/23/2017	cumin powder	key food	arsenic	1070
2/23/2017	ground cumin	spice n more	arsenic	616
2/23/2017	ground cumin	spice n more	arsenic	1310
2/28/2017	five spice powder	oriental mascot	arsenic	166
3/8/2017	paprika	market pantry	arsenic	81.6
3/13/2017	cumin powder	noor's	arsenic	116
3/13/2017	ground turmeric	eagle spice	arsenic	none
3/20/2017	red pepper powder	sunrise victory	arsenic	57.0
3/20/2017	comino molido (ground	piaxtla	arsenic	89.0
3/27/2017	turmeric	simply organic	arsenic	83.3
3/31/2017	jamaican curry	caribbean	arsenic	98.9
4/3/2017	parsley flakes	castella	arsenic	215
4/4/2017	red chili powder	three rivers	arsenic	20.7
4/4/2017	tumeric powder	three rivers	arsenic	none
4/5/2017	javentri whole (mace)	shad	arsenic	none
4/12/2017	jamaican curry	mimi's products	arsenic	60.4
4/12/2017	ginger paste	mehran	arsenic	none
4/13/2017	ground turmeric	peru food	arsenic	141
4/13/2017	turmeric powder	swad	arsenic	32.3
4/12/2017	green za'atar (spice mix)	ziyad	arsenic	34.2
4/17/2017	turmeric powder	national	arsenic	179
4/17/2017	chicken tikka spice mix	national	arsenic	72.6
4/17/2017	chana spice mix	laziza	arsenic	79.0
4/18/2017	sumac	casablanca	arsenic	64.5
4/18/2017	sumac	casablanca	arsenic	63.9
4/24/2017	turmeric powder	charminar	arsenic	38.7
4/24/2017	soul seasoning	finest	arsenic	none
4/25/2017	ground cumin	la flor	arsenic	84.5
4/25/2017	jamaican curry powder	blue mountain	arsenic	none
4/25/2017	jamaican curry powder	jamaican choice	arsenic	none
5/1/2017	chili powder	national	arsenic	34.4
5/2/2017	dried aniseed	(pictures of bird	arsenic	345
5/8/2017	gb salt with spices and	costa del	arsenic	none found
5/8/2017	chile piquin molido	mexican flavors	arsenic	41.1
5/22/2017	curry powder	rico	arsenic	19.2
5/23/2017	turmeric powder	bot ng he	arsenic	682
5/23/2017	smoked paprika	milleiton fresh	arsenic	147
5/26/2017	jamaica curry powder	blue mountain	arsenic	none
5/26/2017	old harbour fish seasoning	blue mountain	arsenic	44.7
5/26/2017	jamaica style mild curry	grace	arsenic	23.8
5/30/2017	ground clove	nicomex	arsenic	35.9
6/5/2017	paprika	marcum	arsenic	62.9
